ad.png アンドラ	2.1377458572387695 6.633774280548096
mt.png マルタ	-6.343381881713867 -4.171450614929199
mu.png モーリシャス	-2.7274532318115234 7.613845348358154
mv.png モルディブ	0.07405765354633331 0.42705395817756653
mw.png マラウイ	-0.0366632305085659 -8.72840404510498
mx.png メキシコ	-8.497356414794922 -5.813437461853027
my.png マレーシア	8.665507316589355 -2.2943334579467773
mz.png モザンビーク	4.851423263549805 1.5452264547348022
na.png ナミビア	-3.4846103191375732 1.6476950645446777
ne.png ニジェール	7.632652282714844 -5.787020683288574
ng.png ナイジェリア	3.1472017765045166 -2.5202414989471436
ni.png ニカラグア	-9.787352561950684 6.757573127746582
nl.png オランダ	-8.512266159057617 -2.8550021648406982
no.png ノルウェー	-8.755187034606934 -3.5114834308624268
np.png ネパール	-1.2632447481155396 -7.429529666900635
nr.png ナウル	-7.893539905548096 8.693862915039062
nz.png ニュージーランド	-10.667433738708496 2.1375365257263184
om.png オマーン	6.946199893951416 -3.2458090782165527
pa.png パナマ	-8.77709674835205 1.1712629795074463
pe.png ペルー	8.478181838989258 -4.046911239624023
pg.png パプアニューギニア	0.7620423436164856 -7.111503601074219
ph.png フィリピン	-7.540992259979248 2.467034339904785
pk.png パキスタン	-5.269471168518066 3.2306272983551025
pl.png ポーランド	-6.293746471405029 -3.4056529998779297
pt.png ポルトガル	7.362360954284668 5.235214710235596
pw.png パラオ	-6.808559894561768 9.235173225402832
py.png パラグアイ	-8.205169677734375 1.601900339126587
qa.png カタール	-7.970454216003418 -7.704257965087891
ro.png ルーマニア	-3.4577090740203857 6.562363147735596
rs.png セルビア	-9.680529594421387 -4.605771064758301
ru.png ロシア	12.114290237426758 -3.636589288711548
rw.png ルワンダ	-4.305688858032227 9.455521583557129
sa.png サウジアラビア	3.2663638591766357 -1.5329481363296509
sb.png ソロモン諸島	-8.63854694366455 10.221362113952637
sc.png セーシェル	7.503091812133789 -1.7361793518066406
sd.png スーダン	-0.17399688065052032 -4.164074897766113
se.png スウェーデン	-6.137042999267578 9.065494537353516
sg.png シンガポール	-6.488601207733154 -4.6159162521362305
si.png スロベニア	12.06546688079834 -3.8428781032562256
sk.png スロバキア	-8.74024486541748 0.8076099753379822
sl.png シエラレオネ	-8.535834312438965 4.841222763061523
sm.png サンマリノ	-11.788244247436523 6.795032024383545
sn.png セネガル	2.261474609375 2.9294309616088867
so.png ソマリア	-8.8736572265625 8.471863746643066
sr.png スリナム	1.077230453491211 -0.708357036113739
st.png サントメプリンシペ	1.2947897911071777 9.221413612365723
sv.png エルサルバドル	14.185916900634766 -3.767803430557251
sy.png シリア	-0.7832890748977661 -4.690371990203857
sz.png スワジランド	10.796711921691895 1.537921667098999
td.png チャド	-0.2584148645401001 7.417486667633057
tg.png トーゴ	5.052705764770508 6.801806926727295
th.png タイ	-7.9974822998046875 1.150695562362671
tj.png タジキスタン	-5.679474353790283 -1.9956804513931274
tl.png 東ティモール	9.788928985595703 -0.5416862368583679
tm.png トルクメニスタン	7.0525736808776855 7.267550468444824
tn.png チュニジア	-4.482343673706055 -5.193883419036865
to.png トンガ	9.39517879486084 -3.8012733459472656
tr.png トルコ	-4.286538600921631 -4.890718936920166
tt.png トリニダード・トバゴ	-2.9270009994506836 -5.896900653839111
tv.png ツバル	-14.054048538208008 -0.7602803111076355
tw.png 中華民国	10.992414474487305 -3.029616117477417
tz.png タンザニア	-3.0948355197906494 11.335112571716309
ua.png ウクライナ	-5.4727864265441895 8.944523811340332
ug.png ウガンダ	8.612873077392578 2.019224166870117
us.png アメリカ合衆国	-10.606095314025879 -1.1515623331069946
uy.png ウルグアイ	-11.387243270874023 6.046174049377441
uz.png ウズベキスタン	-8.656144142150879 4.534707069396973
va.png バチカン市国	7.279263019561768 0.838691771030426
vc.png セントビンセント及びグレナディーン諸島	-2.8861947059631348 9.24728012084961
ve.png ベネズエラ	-4.370572566986084 6.416980743408203
vn.png ベトナム	-0.9367529153823853 3.8834476470947266
vu.png バヌアツ	4.475204944610596 0.8216530680656433
ws.png サモア	-5.660898685455322 0.8356142044067383
ye.png イエメン	-1.499143362045288 -5.0643792152404785
za.png 南アフリカ	5.339066982269287 -4.164678573608398
zm.png ザンビア	2.46553635597229 10.349776268005371
zw.png ジンバブエ	8.521993637084961 1.420041561126709
